iter	Passed	Remaining
0	5	1578
1	9	1427
2	13	1379
3	21	1558
4	25	1511
5	30	1489
6	36	1512
7	40	1490
8	45	1471
9	50	1453
10	54	1439
11	61	1480
12	67	1480
13	72	1486
14	77	1465
15	81	1449
16	86	1434
17	90	1418
18	96	1422
19	100	1413
20	105	1406
21	110	1396
22	115	1389
23	119	1377
24	124	1368
25	129	1360
26	133	1352
27	138	1341
28	142	1335
29	147	1327
30	151	1317
31	156	1308
32	161	1306
33	166	1300
34	171	1299
35	176	1295
36	181	1290
37	186	1287
38	191	1282
39	196	1274
40	200	1265
41	204	1257
42	211	1261
43	215	1255
44	220	1247
45	224	1238
46	229	1236
47	235	1238
48	243	1246
49	252	1263
50	257	1257
51	262	1251
52	267	1248
53	272	1243
54	277	1236
55	282	1230
56	287	1224
57	292	1219
58	296	1212
59	301	1205
60	307	1203
61	312	1199
62	316	1191
63	321	1184
64	326	1179
65	331	1176
66	337	1172
67	342	1167
68	346	1160
69	352	1159
70	359	1159
71	364	1155
72	369	1149
73	375	1145
74	379	1139
75	384	1133
76	388	1126
77	393	1119
78	397	1112
79	402	1105
80	406	1099
81	411	1093
82	415	1086
83	420	1081
84	425	1077
85	430	1071
86	435	1066
87	439	1059
88	444	1053
89	451	1054
90	458	1052
91	463	1046
92	468	1043
93	473	1037
94	477	1030
95	484	1028
96	488	1022
97	492	1015
98	498	1012
99	503	1007
100	508	1002
101	513	997
102	518	992
103	524	988
104	529	983
105	534	977
106	538	971
107	543	966
108	548	960
109	552	954
110	558	950
111	562	944
112	567	939
113	571	933
114	576	927
115	581	921
116	585	916
117	590	910
118	594	904
119	599	899
120	605	895
121	609	889
122	615	885
123	620	880
124	625	875
125	629	869
126	634	863
127	638	857
128	643	852
129	647	847
130	653	843
131	658	838
132	665	835
133	669	829
134	673	823
135	678	818
136	683	813
137	687	807
138	692	801
139	697	797
140	701	791
141	706	785
142	712	782
143	717	776
144	721	771
145	726	766
146	731	760
147	735	755
148	739	749
149	746	746
150	751	741
151	756	736
152	762	732
153	767	727
154	771	721
155	777	717
156	782	712
157	786	707
158	792	703
159	797	697
160	802	692
161	807	687
162	812	683
163	817	677
164	821	672
165	827	667
166	831	662
167	836	656
168	840	651
169	845	646
170	849	641
171	854	635
172	859	631
173	864	626
174	869	620
175	874	615
176	879	611
177	883	605
178	888	600
179	892	595
180	897	590
181	902	584
182	907	579
183	912	574
184	917	570
185	922	565
186	926	559
187	931	554
188	937	550
189	942	545
190	946	540
191	951	535
192	955	529
193	960	524
194	965	519
195	970	515
196	975	509
197	979	504
198	983	499
199	988	494
200	993	489
201	999	484
202	1004	479
203	1010	475
204	1014	470
205	1020	465
206	1025	460
207	1032	456
208	1040	453
209	1046	448
210	1051	443
211	1055	438
212	1060	433
213	1065	428
214	1071	423
215	1075	418
216	1080	413
217	1085	408
218	1090	403
219	1095	398
220	1100	393
221	1105	388
222	1110	383
223	1115	378
224	1120	373
225	1125	368
226	1131	363
227	1137	359
228	1142	354
229	1148	349
230	1153	344
231	1158	339
232	1164	334
233	1168	329
234	1174	324
235	1179	319
236	1183	314
237	1189	309
238	1194	304
239	1199	299
240	1207	295
241	1212	290
242	1216	285
243	1225	281
244	1233	276
245	1244	273
246	1251	268
247	1259	264
248	1264	258
249	1269	253
250	1274	248
251	1279	243
252	1284	238
253	1289	233
254	1294	228
255	1299	223
256	1304	218
257	1309	213
258	1314	208
259	1319	203
260	1323	197
261	1328	192
262	1333	187
263	1338	182
264	1343	177
265	1347	172
266	1352	167
267	1356	162
268	1361	156
269	1365	151
270	1370	146
271	1375	141
272	1380	136
273	1385	131
274	1390	126
275	1394	121
276	1399	116
277	1404	111
278	1408	106
279	1412	100
280	1420	96
281	1425	90
282	1429	85
283	1435	80
284	1440	75
285	1444	70
286	1451	65
287	1455	60
288	1459	55
289	1464	50
290	1469	45
291	1474	40
292	1481	35
293	1488	30
294	1492	25
295	1497	20
296	1503	15
297	1507	10
298	1512	5
299	1519	0
